模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 18:22:08 钢琴。本次回收：0。，总投入：72，总回收：145，实际收益：25，开关=2
模拟下注：贝斯,125 | 吉他,125 | 下注结果：【未命中】。2022-12-04 19:39:28 小提琴。本次回收：0。，总投入：1068，总回收：270，实际收益：-811，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-04 19:40:26 小提琴。本次回收：5。总投入：1070，总回收：275，实际收益：-809，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 19:46:14 钢琴。本次回收：0。，总投入：1072，总回收：275，实际收益：-811，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-04 19:47:12 贝斯。本次回收：25。总投入：1082，总回收：300，实际收益：-804，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-04 19:49:08 贝斯。本次回收：5。总投入：1084，总回收：305，实际收益：-803，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 20:04:36 吉他。本次回收：5。总投入：1086，总回收：310，实际收益：-802，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 20:09:26 架子鼓。本次回收：0。，总投入：1088，总回收：310，实际收益：-804，开关=2
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【命中】。2022-12-04 20:13:18 贝斯。本次回收：25。总投入：1098，总回收：335，实际收益：-797，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-04 20:19:06 小提琴。本次回收：5。总投入：1100，总回收：340，实际收益：-796，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 20:23:56 吉他。本次回收：0。，总投入：1102，总回收：340，实际收益：-797，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 20:27:48 小提琴。本次回收：0。，总投入：1112，总回收：340，实际收益：-807，开关=2
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-04 20:28:46 吉他。本次回收：0。，总投入：1162，总回收：340，实际收益：-853，开关=1
****************************************
模拟下注：贝斯,125 | 吉他,125 | 下注结果：【未命中】。2022-12-04 20:38:26 钢琴。本次回收：0。，总投入：1412，总回收：340，实际收益：-1083，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 20:50:02 钢琴。本次回收：0。，总投入：1414，总回收：340，实际收益：-1084，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-04 20:52:56 贝斯。本次回收：0。，总投入：1424，总回收：340，实际收益：-1094，开关=1
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-04 21:00:40 竖琴。本次回收：0。，总投入：1474，总回收：340，实际收益：-1140，开关=1
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【命中】。2022-12-04 21:06:28 贝斯。本次回收：625。总投入：1724，总回收：965，实际收益：-973，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 21:07:26 小提琴。本次回收：0。，总投入：1726，总回收：965，实际收益：-975，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-04 21:10:20 贝斯。本次回收：0。，总投入：1736，总回收：965，实际收益：-984，开关=1
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【命中】。2022-12-04 21:14:12 钢琴。本次回收：125。总投入：1786，总回收：1090，实际收益：-950，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 21:16:08 萨克斯风。本次回收：0。，总投入：1788，总回收：1090，实际收益：-952，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-04 21:17:06 贝斯。本次回收：25。总投入：1798，总回收：1115，实际收益：-946，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 21:27:44 钢琴。本次回收：5。总投入：1800，总回收：1120，实际收益：-944，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 21:29:40 钢琴。本次回收：0。，总投入：1802，总回收：1120，实际收益：-946，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【命中】。2022-12-04 21:32:34 贝斯。本次回收：25。总投入：1812，总回收：1145，实际收益：-939，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 21:36:26 架子鼓。本次回收：0。，总投入：1814，总回收：1145，实际收益：-941，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-04 21:41:16 吉他。本次回收：0。，总投入：1824，总回收：1145，实际收益：-951，开关=1
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【命中】。2022-12-04 21:46:06 小提琴。本次回收：125。总投入：1874，总回收：1270，实际收益：-917，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 21:51:54 小提琴。本次回收：0。，总投入：1876，总回收：1270，实际收益：-919，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【命中】。2022-12-04 21:54:48 贝斯。本次回收：25。总投入：1886，总回收：1295，实际收益：-912，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 21:57:42 钢琴。本次回收：0。，总投入：1888，总回收：1295，实际收益：-914，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 21:58:40 钢琴。本次回收：0。，总投入：1898，总回收：1295，实际收益：-923，开关=2
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【命中】。2022-12-04 22:13:10 钢琴。本次回收：125。总投入：1948，总回收：1420，实际收益：-890，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 22:14:08 吉他。本次回收：0。，总投入：1950，总回收：1420，实际收益：-892，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-04 22:18:58 小提琴。本次回收：25。总投入：1960，总回收：1445，实际收益：-885，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-04 22:19:56 小提琴。本次回收：5。总投入：1962，总回收：1450，实际收益：-884，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 22:24:46 萨克斯风。本次回收：0。，总投入：1964，总回收：1450，实际收益：-886，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-04 22:29:36 贝斯。本次回收：25。总投入：1974，总回收：1475，实际收益：-879，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 22:30:34 钢琴。本次回收：0。，总投入：1976，总回收：1475，实际收益：-881，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-04 22:38:18 架子鼓。本次回收：0。，总投入：1986，总回收：1475，实际收益：-890，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-04 22:48:56 架子鼓。本次回收：0。，总投入：2036，总回收：1475，实际收益：-936，开关=2
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【命中】。2022-12-04 22:50:52 贝斯。本次回收：625。总投入：2286，总回收：2100，实际收益：-769，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-04 23:03:26 小提琴。本次回收：5。总投入：2288，总回收：2105，实际收益：-768，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 23:07:18 钢琴。本次回收：5。总投入：2290，总回收：2110，实际收益：-766，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 23:13:06 贝斯。本次回收：0。，总投入：2292，总回收：2110，实际收益：-768，开关=2
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 23:14:04 贝斯。本次回收：0。，总投入：2302，总回收：2110，实际收益：-777，开关=2
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-04 23:15:02 钢琴。本次回收：125。总投入：2352，总回收：2235，实际收益：-744，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 23:16:00 小提琴。本次回收：0。，总投入：2354，总回收：2235，实际收益：-746，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-04 23:17:56 小提琴。本次回收：0。，总投入：2364，总回收：2235，实际收益：-755，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【未命中】。2022-12-04 23:20:50 钢琴。本次回收：0。，总投入：2414，总回收：2235，实际收益：-801，开关=2
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-04 23:23:44 架子鼓。本次回收：0。，总投入：2664，总回收：2235，实际收益：-1031，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 23:29:32 小提琴。本次回收：0。，总投入：2666，总回收：2235，实际收益：-1033，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 23:30:30 钢琴。本次回收：0。，总投入：2676，总回收：2235，实际收益：-1042，开关=2
****************************************
模拟下注：吉他,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-04 23:32:26 小提琴。本次回收：0。，总投入：2726，总回收：2235，实际收益：-1088，开关=2
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-04 23:33:24 小提琴。本次回收：0。，总投入：2976，总回收：2235，实际收益：-1318，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 23:34:22 圆号。本次回收：0。，总投入：2978，总回收：2235，实际收益：-1320，开关=2
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-04 23:42:06 架子鼓。本次回收：0。，总投入：2988，总回收：2235，实际收益：-1329，开关=2
****************************************
模拟下注：吉他,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-04 23:53:42 架子鼓。本次回收：0。，总投入：3038，总回收：2235，实际收益：-1375，开关=2
****************************************
模拟下注：小提琴,125 | 吉他,125 | 下注结果：【命中】。2022-12-04 23:58:32 小提琴。本次回收：625。总投入：3288，总回收：2860，实际收益：-1208，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 00:02:24 小提琴。本次回收：0。，总投入：3290，总回收：2860，实际收益：-1210，开关=2
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-05 00:03:22 贝斯。本次回收：25。总投入：3300，总回收：2885，实际收益：-1204，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 00:11:06 小提琴。本次回收：5。总投入：3302，总回收：2890，实际收益：-1202，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-05 00:17:52 架子鼓。本次回收：0。，总投入：3304，总回收：2890，实际收益：-1204，开关=2
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-05 00:19:48 钢琴。本次回收：0。，总投入：3314，总回收：2890，实际收益：-1213，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-05 00:20:46 贝斯。本次回收：0。，总投入：3364，总回收：2890，实际收益：-1259，开关=1
****************************************
模拟下注：吉他,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-05 00:35:16 架子鼓。本次回收：0。，总投入：3614，总回收：2890，实际收益：-1489，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 00:36:14 贝斯。本次回收：5。总投入：3616，总回收：2895，实际收益：-1488，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 00:37:12 吉他。本次回收：5。总投入：3618，总回收：2900，实际收益：-1487，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 00:41:04 小提琴。本次回收：5。总投入：3620，总回收：2905，实际收益：-1485，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 00:42:02 小提琴。本次回收：5。总投入：3622，总回收：2910，实际收益：-1484，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 00:45:54 贝斯。本次回收：5。总投入：3624，总回收：2915，实际收益：-1483，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 01:06:12 小提琴。本次回收：0。，总投入：3626，总回收：2915，实际收益：-1484，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-05 01:15:52 钢琴。本次回收：0。，总投入：3636，总回收：2915，实际收益：-1494，开关=1
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【命中】。2022-12-05 01:20:42 钢琴。本次回收：125。总投入：3686，总回收：3040，实际收益：-1460，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 01:23:36 贝斯。本次回收：5。总投入：3688，总回收：3045，实际收益：-1459，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 01:27:28 吉他。本次回收：0。，总投入：3690，总回收：3045，实际收益：-1461，开关=2
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-05 01:34:14 小提琴。本次回收：25。总投入：3700，总回收：3070，实际收益：-1454，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-05 01:41:58 小提琴。本次回收：0。，总投入：3702，总回收：3070，实际收益：-1456，开关=2
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-05 01:45:50 钢琴。本次回收：25。总投入：3712，总回收：3095，实际收益：-1449，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 01:48:44 贝斯。本次回收：0。，总投入：3714，总回收：3095，实际收益：-1451，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-05 01:49:42 吉他。本次回收：0。，总投入：3724，总回收：3095，实际收益：-1460，开关=2
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-05 01:50:40 贝斯。本次回收：125。总投入：3774，总回收：3220，实际收益：-1427，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 01:59:22 吉他。本次回收：5。总投入：3776，总回收：3225，实际收益：-1426，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 02:00:20 贝斯。本次回收：0。，总投入：3778，总回收：3225，实际收益：-1427，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-05 02:08:04 架子鼓。本次回收：0。，总投入：3788，总回收：3225，实际收益：-1437，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-05 02:15:48 吉他。本次回收：0。，总投入：3838，总回收：3225，实际收益：-1483，开关=1
****************************************
模拟下注：小提琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-05 02:32:14 贝斯。本次回收：0。，总投入：4088，总回收：3225，实际收益：-1713，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 02:35:08 小提琴。本次回收：0。，总投入：4090，总回收：3225，实际收益：-1714，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-05 02:39:00 贝斯。本次回收：25。总投入：4100，总回收：3250，实际收益：-1708，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 02:39:58 贝斯。本次回收：5。总投入：4102，总回收：3255，实际收益：-1706，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 02:40:56 小提琴。本次回收：0。，总投入：4104，总回收：3255，实际收益：-1708，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-05 02:46:44 吉他。本次回收：0。，总投入：4114，总回收：3255，实际收益：-1717，开关=1
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-05 02:51:34 吉他。本次回收：0。，总投入：4164，总回收：3255，实际收益：-1763，开关=2
****************************************
模拟下注：小提琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-05 02:52:32 架子鼓。本次回收：0。，总投入：4414，总回收：3255，实际收益：-1993，开关=2
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 02:59:18 钢琴。本次回收：0。，总投入：4416，总回收：3255，实际收益：-1995，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 03:18:38 吉他。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-05 03:24:26 架子鼓。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-05 03:28:18 吉他。本次回收：0。，总投入：62，总回收：0，实际收益：-57，开关=1
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-05 03:33:08 吉他。本次回收：0。，总投入：312，总回收：0，实际收益：-287，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 03:38:56 小提琴。本次回收：5。总投入：314，总回收：5，实际收益：-285，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 03:40:52 竖琴。本次回收：0。，总投入：316，总回收：5，实际收益：-287，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-05 03:49:34 小提琴。本次回收：25。总投入：326，总回收：30，实际收益：-280，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 03:50:32 钢琴。本次回收：0。，总投入：328，总回收：30，实际收益：-282，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【命中】。2022-12-05 03:53:26 钢琴。本次回收：25。总投入：338，总回收：55，实际收益：-276，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 03:54:24 小提琴。本次回收：0。，总投入：340，总回收：55，实际收益：-277，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-05 03:57:18 吉他。本次回收：0。，总投入：350，总回收：55，实际收益：-287，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-05 04:01:10 小提琴。本次回收：0。，总投入：400，总回收：55，实际收益：-333，开关=1
****************************************
模拟下注：吉他,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-05 04:07:56 小提琴。本次回收：0。，总投入：650，总回收：55，实际收益：-563，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 04:09:52 贝斯。本次回收：5。总投入：652，总回收：60，实际收益：-561，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-05 04:10:50 钢琴。本次回收：0。，总投入：654，总回收：60，实际收益：-563，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-05 04:21:28 架子鼓。本次回收：0。，总投入：664，总回收：60，实际收益：-572，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-05 04:28:14 吉他。本次回收：0。，总投入：714，总回收：60，实际收益：-618，开关=2
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【命中】。2022-12-05 04:29:12 贝斯。本次回收：625。总投入：964，总回收：685，实际收益：-451，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 04:32:06 架子鼓。本次回收：0。，总投入：966，总回收：685，实际收益：-453，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-05 04:39:50 吉他。本次回收：0。，总投入：976，总回收：685，实际收益：-462，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【命中】。2022-12-05 04:40:48 钢琴。本次回收：125。总投入：1026，总回收：810，实际收益：-429，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-05 04:43:42 吉他。本次回收：0。，总投入：1028，总回收：810，实际收益：-431，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-05 04:46:36 吉他。本次回收：25。总投入：1038，总回收：835，实际收益：-424，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-05 04:47:34 圆号。本次回收：0。，总投入：1040，总回收：835，实际收益：-426，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-05 04:59:10 小提琴。本次回收：0。，总投入：1050，总回收：835，实际收益：-435，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【命中】。2022-12-05 05:09:48 钢琴。本次回收：125。总投入：1100，总回收：960，实际收益：-402，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-05 05:17:32 钢琴。本次回收：5。总投入：1102，总回收：965，实际收益：-401，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-05 05:23:20 钢琴。本次回收：5。总投入：1104，总回收：970，实际收益：-399，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 05:31:04 小提琴。本次回收：5。总投入：1106，总回收：975，实际收益：-398，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 05:45:34 钢琴。本次回收：5。总投入：1108，总回收：980，实际收益：-397，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-05 05:51:22 小提琴。本次回收：5。总投入：1110，总回收：985，实际收益：-395，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-05 05:55:14 吉他。本次回收：5。总投入：1112，总回收：990，实际收益：-394，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-05 06:10:42 贝斯。本次回收：0。，总投入：1114，总回收：990，实际收益：-396，开关=2
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-05 06:18:26 架子鼓。本次回收：0。，总投入：1124，总回收：990，实际收益：-405，开关=2
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-05 06:20:22 吉他。本次回收：0。，总投入：1174，总回收：990，实际收益：-451，开关=2
****************************************
模拟下注：贝斯,125 | 小提琴,125 | 下注结果：【命中】。2022-12-05 06:21:20 贝斯。本次回收：625。总投入：1424，总回收：1615，实际收益：-284，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-05 06:25:12 贝斯。本次回收：0。，总投入：1426，总回收：1615，实际收益：-286，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-05 06:26:10 钢琴。本次回收：0。，总投入：1436，总回收：1615，实际收益：-295，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-05 06:28:06 圆号。本次回收：0。，总投入：1486，总回收：1615，实际收益：-341，开关=2
****************************************
模拟下注：钢琴,125 | 吉他,125 | 下注结果：【未命中】。2022-12-05 06:31:00 小提琴。本次回收：0。，总投入：1736，总回收：1615，实际收益：-571，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 06:40:40 贝斯。本次回收：5。总投入：1738，总回收：1620，实际收益：-570，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-05 06:48:24 小提琴。本次回收：5。总投入：1740，总回收：1625，实际收益：-568，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-05 06:51:18 吉他。本次回收：5。总投入：1742，总回收：1630，实际收益：-567，开关=2
****************************************
